%eval_id interface pd             po             fa             response_fn_1  response_fn_2  response_fn_3  response_fn_4  response_fn_5  response_fn_6  response_fn_7  response_fn_8  response_fn_9  
140      bat        0.000475       0.33           0.577          5718.21973     0.54299        222.9138       15.56          0.10132        1.2747         23.6654        1.2747         15.56          
141      bat        0.0005166666667 0.33           0.577          5717.84619     0.54299        222.9138       15.56          0.09993        1.2238         23.6666        1.2238         15.56          
142      bat        0.0005583333333 0.33           0.577          5717.47461     0.54299        222.9138       15.56          0.09993        1.2298         23.6673        1.2298         15.56          
143      bat        0.0006         0.33           0.577          5717.1001      0.54299        222.9138       15.56          0.09993        1.2355         23.6674        1.2355         15.56          
144      bat        0.0001         0.3395         0.577          5711.9165      0.54715        222.6202       15.56          0.1041         1.2547         23.5479        1.2547         15.56          
145      bat        0.0001416666667 0.3395         0.577          5713.48584     0.54576        222.6205       15.56          0.1041         1.2833         23.5455        1.2833         15.56          
146      bat        0.0001833333333 0.3395         0.577          5712.00244     0.54576        222.6205       15.56          0.10271        1.2512         23.5459        1.2512         15.56          
147      bat        0.000225       0.3395         0.577          5710.854       0.54576        222.6204       15.56          0.10271        1.2682         23.547         1.2682         15.56          
148      bat        0.0002666666667 0.3395         0.577          5713.52148     0.54438        222.6206       15.56          0.10271        1.2827         23.5449        1.2827         15.56          
149      bat        0.0003083333333 0.3395         0.577          5712.75244     0.54438        222.6205       15.56          0.10132        1.239          23.5461        1.239          15.56          
150      bat        0.00035        0.3395         0.577          5712.03223     0.54438        222.6205       15.56          0.10132        1.2493         23.5456        1.2493         15.56          
151      bat        0.0003916666667 0.3395         0.577          5711.5293      0.54438        222.6201       15.56          0.10132        1.2586         23.5495        1.2586         15.56          
152      bat        0.0004333333333 0.3395         0.577          5710.88525     0.54438        222.6205       15.56          0.10132        1.2671         23.5466        1.2671         15.56          
153      bat        0.000475       0.3395         0.577          5711.91309     0.54299        222.6202       15.56          0.10132        1.2747         23.5486        1.2747         15.56          
154      bat        0.0005166666667 0.3395         0.577          5713.56543     0.54299        222.6208       15.56          0.10132        1.2819         23.5441        1.2819         15.56          
155      bat        0.0005583333333 0.3395         0.577          5713.18066     0.54299        222.6207       15.56          0.09993        1.2298         23.5447        1.2298         15.56          
156      bat        0.0006         0.3395         0.577          5712.80713     0.54299        222.6207       15.56          0.09993        1.2355         23.5449        1.2355         15.56          
157      bat        0.0001         0.349          0.577          5707.45898     0.54715        222.3238       15.56          0.1041         1.2547         23.423         1.2547         15.56          
