 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.16382   2205.34814      0.00000    13.3476     0.6556    -2.2795     9.7833    46.8595   203.8368     1.0616     550577.562    0.00000   73.10921
     0.16521   2247.20410      0.00000    13.3444     0.6630    -2.3540     9.9707    47.2332   207.3256     1.0603     561719.250    0.00000   73.73292
     0.16660   2289.44580      0.00000    13.3412     0.6705    -2.4286    10.1580    47.6069   210.8368     1.0590     573071.312    0.00000   74.35987
     0.16799   2332.07397      0.00000    13.3380     0.6779    -2.5000    10.3513    47.9808   214.3705     1.0577     584635.750    0.00000   70.04742
     0.16938   2368.10620      0.00000    13.3347     0.6842    -2.5000    10.6921    48.3242   217.8967     1.0576     596396.250    0.00000   62.58154
     0.17076   2403.52588      0.00000    13.3314     0.6903    -2.5000    11.0322    48.6643   221.4190     1.0576     608334.250    0.00000   62.30219
     0.17215   2438.74585      0.00000    13.3280     0.6964    -2.5000    11.3707    49.0028   224.9229     1.0576     620448.812    0.00000   62.03253
     0.17354   2473.77295      0.00000    13.3245     0.7024    -2.5000    11.7079    49.3400   228.4091     1.0576     632738.812    0.00000   61.77207
     0.17493   2508.61084      0.00000    13.3210     0.7083    -2.5000    12.0436    49.6757   231.8778     1.0576     645203.562    0.00000   61.52027
     0.17632   2543.26367      0.00000    13.3175     0.7141    -2.5000    12.3780    50.0100   235.3296     1.0576     657841.938    0.00000   61.27663
     0.17771   2577.73779      0.00000    13.3138     0.7199    -2.5000    12.7110    50.3431   238.7651     1.0576     670653.125    0.00000   61.04071
     0.17910   2612.03564      0.00000    13.3102     0.7256    -2.5000    13.0428    50.6749   242.1844     1.0576     683636.188    0.00000   60.81211
     0.18049   2646.16162      0.00000    13.3065     0.7313    -2.5000    13.3734    51.0055   245.5881     1.0576     696790.312    0.00000   60.59042
     0.18188   2680.11914      0.00000    13.3027     0.7369    -2.5000    13.7028    51.3349   248.9765     1.0576     710114.625    0.00000   60.37528
     0.18326   2713.91260      0.00000    13.2989     0.7425    -2.5000    14.0311    51.6632   252.3500     1.0576     723608.062    0.00000   60.16638
     0.18465   2747.54370      0.00000    13.2951     0.7480    -2.5000    14.3582    51.9903   255.7088     1.0576     737270.125    0.00000   59.96338
     0.18604   2781.01636      0.00000    13.2912     0.7535    -2.5000    14.6842    52.3163   259.0533     1.0576     751099.938    0.00000   59.76600
     0.18743   2814.33350      0.00000    13.2872     0.7589    -2.5000    15.0092    52.6413   262.3839     1.0576     765096.750    0.00000   59.57399
     0.18882   2847.49756      0.00000    13.2832     0.7642    -2.5000    15.3331    52.9652   265.7007     1.0576     779259.688    0.00000   59.38705
     0.19021   2880.51123      0.00000    13.2792     0.7695    -2.5000    15.6561    53.2882   269.0040     1.0576     793588.000    0.00000   59.20499
     0.19160   2913.37769      0.00000    13.2751     0.7748    -2.5000    15.9780    53.6101   272.2942     1.0576     808081.000    0.00000   59.02758
     0.19299   2946.09839      0.00000    13.2709     0.7800    -2.5000    16.2990    53.9311   275.5714     1.0576     822737.938    0.00000   58.85455
     0.19437   2978.67651      0.00000    13.2667     0.7851    -2.5000    16.6191    54.2512   278.8359     1.0576     837557.938    0.00000   58.68578
     0.19576   3011.11084      0.00000    13.2625     0.7903    -2.5000    16.9383    54.5704   282.0877     1.0576     852540.438    0.00000   58.52100
     0.19715   3043.40771      0.00000    13.2582     0.7953    -2.5000    17.2566    54.8887   285.3273     1.0576     867684.875    0.00000   58.36012
     0.19854   3075.56787      0.00000    13.2539     0.8004    -2.5000    17.5740    55.2061   288.5548     1.0576     882990.438    0.00000   58.20298
     0.19993   3107.59253      0.00000    13.2495     0.8054    -2.5000    17.8906    55.5227   291.7703     1.0576     898456.438    0.00000   58.04938
     0.20132   3139.48315      0.00000    13.2450     0.8103    -2.5000    18.2063    55.8384   294.9741     1.0576     914082.062    0.00000   57.89914
     0.20271   3171.24121      0.00000    13.2405     0.8152    -2.5000    18.5213    56.1534   298.1664     1.0576     929866.875    0.00000   57.75214
     0.20410   3202.86987      0.00000    13.2360     0.8201    -2.5000    18.8354    56.4675   301.3472     1.0576     945810.125    0.00000   57.60830
     0.20549   3234.36865      0.00000    13.2314     0.8249    -2.5000    19.1488    56.7809   304.5168     1.0576     961911.125    0.00000   57.46745
     0.20687   3265.73975      0.00000    13.2268     0.8297    -2.5000    19.4614    57.0935   307.6752     1.0576     978169.312    0.00000   57.32948
