 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.16521      0.42978      0.00000     0.1142     0.0823     0.0000     6.5741     6.7260     0.6464    17.1098        981.139    0.00000    0.01525
     0.16660      0.41805      0.00000     0.1120     0.0810     0.0000     6.5888     6.7407     0.6360    17.1098        983.256    0.00000    0.01498
     0.16799      0.40627      0.00000     0.1097     0.0796     0.0000     6.6032     6.7552     0.6255    17.1098        985.314    0.00000    0.01471
     0.16938      0.39071      0.00000     0.1068     0.0778     0.0000     6.6173     6.7693     0.6110    17.1098        987.303    0.00000    0.01436
     0.17076      0.37589      0.00000     0.1040     0.0760     0.0000     6.6311     6.7831     0.5971    17.1098        989.215    0.00000    0.01403
     0.17215      0.36176      0.00000     0.1013     0.0743     0.0000     6.6446     6.7966     0.5835    17.1098        991.055    0.00000    0.01370
     0.17354      0.34830      0.00000     0.0987     0.0726     0.0000     6.6578     6.8097     0.5705    17.1098        992.827    0.00000    0.01338
     0.17493      0.33546      0.00000     0.0962     0.0710     0.0000     6.6706     6.8226     0.5578    17.1098        994.533    0.00000    0.01308
     0.17632      0.32321      0.00000     0.0938     0.0694     0.0000     6.6832     6.8351     0.5455    17.1098        996.176    0.00000    0.01278
     0.17771      0.31152      0.00000     0.0914     0.0679     0.0000     6.6955     6.8474     0.5336    17.1098        997.760    0.00000    0.01249
     0.17910      0.30036      0.00000     0.0892     0.0664     0.0000     6.7075     6.8594     0.5221    17.1098        999.287    0.00000    0.01221
     0.18049      0.28970      0.00000     0.0870     0.0650     0.0000     6.7192     6.8712     0.5110    17.1098       1000.759    0.00000    0.01195
     0.18188      0.27952      0.00000     0.0849     0.0636     0.0000     6.7307     6.8826     0.5002    17.1098       1002.179    0.00000    0.01168
     0.18326      0.26979      0.00000     0.0829     0.0623     0.0000     6.7419     6.8939     0.4897    17.1098       1003.550    0.00000    0.01143
     0.18465      0.26048      0.00000     0.0810     0.0610     0.0000     6.7529     6.9049     0.4795    17.1098       1004.873    0.00000    0.01119
     0.18604      0.25158      0.00000     0.0791     0.0597     0.0000     6.7637     6.9156     0.4697    17.1098       1006.151    0.00000    0.01095
     0.18743      0.24307      0.00000     0.0773     0.0585     0.0000     6.7742     6.9261     0.4601    17.1098       1007.385    0.00000    0.01072
     0.18882      0.23492      0.00000     0.0755     0.0573     0.0000     6.7845     6.9364     0.4509    17.1098       1008.578    0.00000    0.01049
     0.19021      0.22711      0.00000     0.0738     0.0562     0.0000     6.7946     6.9465     0.4419    17.1098       1009.731    0.00000    0.01028
     0.19160      0.21964      0.00000     0.0722     0.0550     0.0000     6.8045     6.9564     0.4331    17.1098       1010.846    0.00000    0.01007
     0.19299      0.21247      0.00000     0.0706     0.0540     0.0000     6.8142     6.9661     0.4246    17.1098       1011.924    0.00000    0.00986
     0.19437      0.20561      0.00000     0.0691     0.0529     0.0000     6.8236     6.9756     0.4164    17.1098       1012.968    0.00000    0.00966
     0.19576      0.19903      0.00000     0.0676     0.0519     0.0000     6.8329     6.9849     0.4084    17.1098       1013.977    0.00000    0.00947
     0.19715      0.19271      0.00000     0.0662     0.0509     0.0000     6.8421     6.9940     0.4006    17.1098       1014.955    0.00000    0.00928
     0.19854      0.18666      0.00000     0.0648     0.0499     0.0000     6.8510     7.0029     0.3931    17.1098       1015.902    0.00000    0.00910
     0.19993      0.18084      0.00000     0.0634     0.0490     0.0000     6.8597     7.0117     0.3857    17.1098       1016.819    0.00000    0.00893
     0.20132      0.17526      0.00000     0.0621     0.0481     0.0000     6.8683     7.0203     0.3786    17.1098       1017.708    0.00000    0.00875
     0.20271      0.16990      0.00000     0.0609     0.0472     0.0000     6.8768     7.0287     0.3716    17.1098       1018.570    0.00000    0.00859
     0.20410      0.16475      0.00000     0.0596     0.0463     0.0000     6.8850     7.0370     0.3649    17.1098       1019.405    0.00000    0.00842
     0.20549      0.15980      0.00000     0.0584     0.0455     0.0000     6.8931     7.0451     0.3583    17.1098       1020.215    0.00000    0.00827
     0.20687      0.15505      0.00000     0.0573     0.0447     0.0000     6.9011     7.0531     0.3519    17.1098       1021.001    0.00000    0.00811
     0.20826      0.15047      0.00000     0.0562     0.0439     0.0000     6.9089     7.0609     0.3457    17.1098       1021.763    0.00000    0.00796
     0.20965      0.14607      0.00000     0.0551     0.0431     0.0000     6.9166     7.0685     0.3396    17.1098       1022.503    0.00000    0.00782
     0.21104      0.14184      0.00000     0.0540     0.0423     0.0000     6.9241     7.0761     0.3337    17.1098       1023.222    0.00000    0.00767
     0.21243      0.13776      0.00000     0.0530     0.0416     0.0000     6.9315     7.0835     0.3280    17.1098       1023.920    0.00000    0.00754
     0.21382      0.13384      0.00000     0.0520     0.0409     0.0000     6.9388     7.0907     0.3224    17.1098       1024.598    0.00000    0.00740
     0.21521      0.13006      0.00000     0.0510     0.0402     0.0000     6.9459     7.0978     0.3169    17.1098       1025.257    0.00000    0.00727
     0.21660      0.12642      0.00000     0.0501     0.0395     0.0000     6.9529     7.1049     0.3116    17.1098       1025.897    0.00000    0.00714
     0.21799      0.12291      0.00000     0.0492     0.0389     0.0000     6.9598     7.1117     0.3065    17.1098       1026.519    0.00000    0.00702
     0.21937      0.11953      0.00000     0.0483     0.0382     0.0000     6.9665     7.1185     0.3014    17.1098       1027.125    0.00000    0.00690
     0.22076      0.11627      0.00000     0.0474     0.0376     0.0000     6.9732     7.1251     0.2965    17.1098       1027.713    0.00000    0.00678
     0.22215      0.11313      0.00000     0.0466     0.0370     0.0000     6.9797     7.1317     0.2917    17.1098       1028.286    0.00000    0.00666
     0.22354      0.11009      0.00000     0.0458     0.0364     0.0000     6.9861     7.1381     0.2870    17.1098       1028.843    0.00000    0.00655
